Domain,Profile,Subdomain,Suspend,Download,Upload,Print,Clipboard,Cookies,AdBlock,Certificate,Media,Access,Comment
safebrowsing-cache.google.com,All,Exclude,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"Browser Website"
safebrowsing.googleapis.com,All,Default,Default,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"Browser Website"
tracking-protection.cdn.mozilla.net,All,Default,Default,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"Browser Website"
detectportal.firefox.com,All,Exclude,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"Browser Website"
aus5.mozilla.org,All,Default,Default,Default,Default,Default,Default,Default,Enable,Default,Default,White,"FireFox auto-update"
ocsp.comodoca.com,All,Exclude,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"CA verification site"
ocsp.digicert.com,All,Exclude,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"CA verification site"
misim.gov.il,All,Include,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"Local smart card is required"
masav-online.co.il,All,Include,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"Cannot use smart token with Shield"
bankleumi.co.il,All,Include,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"Bank Website"
leumi.co.il,All,Include,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"Bank Website"
cal-online.co.il,All,Include,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"Bank Website"
eatm.ctbcbank.com,All,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,White,"Bank Website"
clal.co.il,All,Default,Default,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"Insurance Website"
ayalon-ins.co.il,All,Default,Default,Default,Default,Default,Default,Default,Enable,Default,Default,White,"Insurance Website"
salesforce.com,All,Include,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"SalesForce"
force.com,All,Include,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"SalesForce"
webex.com,All,Include,Enable,Default,Default,Default,Default,Default,Enable,Default,Stream,White,"Remote Session Website"
zoom.us,All,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,White,"Remote Session Website"
10tv.nana10.co.il,All,Default,Default,Default,Default,Default,Default,Default,Enable,Ignore,Default,Default,"Certificate Issue"
craigslist.org,All,Default,Default,Default,Default,Default,Default,Default,Disable,Default,Default,White,"Website Issue due to XFF settings"
myspace.com,All,Default,Default,Default,Default,Default,Default,Default,Disable,Default,Default,White,"SSL Issue"
msn.com,All,Default,Default,Default,Default,Default,Default,Default,Disable,Default,Default,Default,"Adblock Issue"
advisera.com,All,Default,Default,Default,Default,Default,Default,Default,Disable,Default,Default,Default,"Adblock Issue"
kan.org.il,All,Default,Default,Default,Default,Default,Default,Default,Default,Default,Isolate,Default,"Media Player Issue"
